n,p,m
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":This gene is involved in the maintenance of connective tissue.}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C1414542}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":OMIM_Number,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P100}","{""data"":134797}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":FBN1 Gene}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C75336}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":FBN1_Gene}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Fibrillin 1 Gene}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":FBN1}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Gene or Genome}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[FBN1 Gene, FBN1, Fibrillin 1 Gene],""name"":fbn1 gene,""definition"":['This gene is involved in the maintenance of connective tissue.'],""name_Dataset"":FBN1,""label"":FBN1 Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75336,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}"
"{""synonym"":[Extracellular Matrix Protein Gene, ECM Protein Gene],""name"":extracellular matrix protein gene,""definition"":['Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)'],""label"":Extracellular Matrix Protein Gene,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26000,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":Extracellular Matrix Protein Genes encode mostly fibrous Extracellular Matrix Proteins (e.g., Collagen, Elastin, Fibronectins, and Laminin), typically located in the Extracellular Matrix and commonly involved in cell attachment, cell movement, cell growth, morphogenesis, organogenesis, and tissue repair, architecture, and organization. (NCI)}"
