n,p,m
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":The branches of medical science that deal with nonsurgical techniques.}"
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C0025118}"
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""label"":ALT_DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P325}","{""data"":<ncicp:ComplexDefinition xmlns:ncicp='http://ncicb.nci.nih.gov/xml/owl/EVS/ComplexProperties.xsd#'><ncicp:def-definition>Refers to the practices and procedures used for the prevention, treatment, or relief of symptoms of a diseases or abnormal conditions. This term may also refer to a legal drug used for the same purpose.</ncicp:def-definition><ncicp:def-source>NCI-GLOSS</ncicp:def-source></ncicp:ComplexDefinition>}"
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Medicine}"
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C16833}"
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Medicine}"
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Biomedical Occupation or Discipline}"
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Medicine, medicine],""name"":medicine,""definition"":['The branches of medical science that deal with nonsurgical techniques.'],""name_Dataset"":MEDICINE,""label"":Medicine,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16833,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}"
"{""synonym"":[Medical Science],""name"":medical science,""definition"":['The science of dealing with the maintenance of health and the prevention and treatment of disease.'],""label"":Medical Science,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":The science of dealing with the maintenance of health and the prevention and treatment of disease.}"
